uniprot	cytosol	extracellular	membrane	mitochondrion	nucleus	secretory-pathway
KREM2	4.508	2.878	4.457	0.0	2.527	4.168
SNX7	4.596	0.69	0.922	0.662	3.833	3.603
KNDC1	4.227	0.576	4.226	0.0	2.737	0.0
HYAS3	4.174	5.0	4.687	0.579	2.563	1.68
THOP1	5.0	1.692	1.625	3.553	2.613	1.443
AA2BR	2.58	2.922	5.0	2.223	2.261	2.128
SIX2	4.704	2.03	2.596	1.121	4.683	2.175
MPLKI	5.0	1.044	5.0	1.311	5.0	4.407
ANKS3	4.75	0.527	3.621	0.0	3.462	0.0
FAS	4.884	4.513	4.664	2.794	2.616	4.553
ZNHI1	5.0	0.469	1.305	0.0	5.0	0.0
MAGI3	4.198	1.326	4.38	1.209	4.158	1.244
RETR1	4.49	1.101	3.11	1.616	4.353	4.492
CALL6	4.228	0.868	0.674	0.529	3.696	0.511
CTNA1	5.0	1.95	5.0	1.257	2.833	2.827
RNFT1	5.0	0.844	1.688	0.0	2.067	5.0
ATOH8	5.0	1.301	0.901	0.723	5.0	0.0
THA11	4.696	0.728	1.451	0.963	4.686	0.0
UBB	5.0	4.291	5.0	5.0	4.599	4.269
MSD4	4.562	1.174	1.226	0.0	4.456	0.0
P2RY1	5.0	2.639	5.0	2.97	1.774	2.065
ZN467	4.599	0.765	0.636	2.165	4.375	0.0
EST3	4.609	4.563	1.41	1.387	1.42	4.167
S26A5	2.89	1.704	4.535	1.378	1.852	1.93
KTHY	4.566	1.167	1.336	4.375	3.945	1.083
OR6Y1	0.986	0.0	5.0	0.0	0.729	0.0
UD2B7	4.446	1.63	1.607	1.493	1.768	3.521
CASK	2.456	5.0	2.519	1.944	1.818	2.233
UD11	5.0	1.917	3.141	2.589	2.446	5.0
O2AT4	0.881	0.866	5.0	0.0	0.0	0.0
NUDC2	4.652	4.0	0.0	0.0	3.333	0.0
VATE2	4.332	0.66	1.096	1.136	0.946	2.803
IRS1	4.875	2.758	4.633	2.793	4.858	2.713
CD2B2	5.0	1.523	1.629	0.874	5.0	1.145
TXND2	5.0	0.81	1.032	2.003	2.92	1.495
IL13	4.3	5.0	4.281	2.427	3.051	2.685
LRC28	3.204	0.701	0.0	0.0	1.359	1.441
PDPFL	1.828	0.844	0.0	1.828	0.141	0.0
SOSD1	1.936	5.0	1.518	0.79	1.639	0.964
TECT2	4.524	0.8	4.674	0.0	0.844	2.234
ROBO4	4.414	4.513	4.307	1.16	1.576	4.246
MN1	5.0	1.316	1.638	1.302	5.0	0.986
BFSP2	4.629	1.236	4.104	2.192	2.657	1.521
PSG8	1.862	3.375	1.633	1.125	0.928	0.592
OR2K2	0.0	0.0	5.0	0.0	0.0	0.0
TM192	5.0	0.964	3.857	0.766	4.29	5.0
RFXK	4.786	4.247	1.484	0.755	4.725	1.063
ZN439	4.125	0.52	0.55	0.0	4.125	0.0
GIMA8	4.538	0.62	0.555	3.396	2.792	3.285
SOCS5	4.711	2.184	2.746	1.649	3.971	1.707
MCRI2	5.0	0.0	0.0	1.406	5.0	0.703
PWP2A	5.0	0.821	1.567	0.0	5.0	0.0
TRI56	4.701	0.943	0.909	1.28	4.585	2.096
H1BP3	4.719	0.522	0.538	4.203	3.205	4.0
CKP2L	5.0	0.693	2.47	1.831	3.471	1.706
UD2B4	4.378	1.563	1.525	1.201	1.628	3.315
SRP09	5.0	1.673	1.046	0.836	2.109	4.367
IRX1	4.666	1.658	1.599	1.402	4.641	2.367
STX8	5.0	1.222	4.356	1.028	1.077	5.0
GBB2	5.0	4.376	4.2	0.934	1.805	4.198
K1C28	4.598	4.0	0.0	0.656	1.477	4.0
NLGN2	4.033	2.068	5.0	2.673	1.271	1.741
S6A19	5.0	4.286	5.0	1.181	1.085	4.269
FSTL5	3.032	3.789	2.4	0.545	2.286	1.125
SOX14	4.416	1.172	1.629	0.566	4.407	0.954
ADRB2	5.0	3.402	5.0	2.177	3.456	5.0
ZN440	4.125	0.636	0.0	0.0	4.125	0.0
S1PR1	5.0	2.474	5.0	1.831	4.417	5.0
CEBPB	5.0	2.726	2.448	2.507	5.0	2.336
OR1F1	0.0	0.0	5.0	0.0	0.0	0.0
TUB	5.0	3.845	5.0	2.531	5.0	1.774
COG7	5.0	0.983	1.327	0.832	4.456	5.0
CNNM3	3.382	0.853	4.311	0.6	0.0	0.818
B4DYU2	5.0	1.363	1.717	1.282	1.733	5.0
PDILT	4.343	1.206	0.959	0.0	0.842	4.379
OR1S2	0.0	0.0	5.0	0.0	0.0	0.0
FEN1	5.0	1.746	2.836	5.0	5.0	1.461
SPA5L	5.0	0.0	0.0	0.0	3.101	0.596
SIRPG	1.598	2.44	4.131	0.616	0.623	0.728
THAP9	3.499	0.0	0.569	2.016	2.602	0.0
PCBP1	5.0	4.355	1.424	1.729	5.0	4.533
B3GN2	4.712	2.407	1.64	0.0	1.08	4.725
FA71B	4.26	0.0	0.617	0.0	4.246	0.0
FUT3	4.7	4.585	1.943	0.743	1.442	4.702
CPLX1	4.656	1.286	3.991	1.338	2.369	2.251
NXNL1	3.756	1.938	3.587	1.675	1.673	1.126
HOME2	5.0	1.544	4.531	0.884	3.453	1.322
OR6F1	0.0	0.0	5.0	0.0	0.0	0.0
VAMP5	4.46	4.282	4.233	1.224	1.331	4.396
CXL10	3.289	4.876	3.738	2.412	2.994	2.818
LETM1	5.0	1.128	1.891	5.0	1.693	1.867
TV23B	3.231	0.0	2.906	0.0	0.593	3.0
TRABD	2.949	0.281	0.519	1.653	2.855	0.0
CAVN2	5.0	1.702	5.0	1.889	4.569	1.807
RM39	5.0	0.605	0.774	5.0	1.657	0.844
LYAG	4.781	4.366	4.361	1.171	0.891	4.264
RBFA	4.402	0.0	0.526	3.99	1.094	0.0
HOOK3	5.0	1.24	1.489	0.781	2.837	5.0
KCD19	2.521	0.0	0.0	0.0	2.361	0.0
BMP1	3.902	4.805	2.267	1.355	1.966	3.651
IBTK	5.0	0.973	1.811	1.149	5.0	1.035
CHSTB	4.767	2.075	1.751	1.228	1.274	4.749
CYTN	2.799	5.0	1.395	0.648	2.466	1.023
TOMT	3.777	0.281	4.391	1.566	1.116	3.255
MRGX1	1.323	0.714	5.0	0.0	1.117	0.666
KC1G1	5.0	0.732	3.436	0.0	4.117	0.788
SF3B3	5.0	1.013	3.191	1.048	5.0	1.032
STX18	5.0	1.044	3.033	1.844	1.443	5.0
GRIN1	3.587	0.626	3.896	0.0	3.427	0.791
T4S4	1.371	1.154	3.458	0.0	1.193	0.516
SHLD1	5.0	0.738	1.101	0.0	5.0	1.895
NMUR1	1.755	1.4	5.0	1.007	1.396	1.127
TM208	3.486	0.188	2.062	0.763	0.0	3.546
KMT5B	4.756	1.031	0.901	0.926	4.75	0.0
UTF1	5.0	1.715	1.511	2.171	5.0	1.07
BRD3	4.595	1.452	1.586	1.686	4.573	0.937
HTRA4	1.635	4.094	1.102	1.166	0.0	0.61
PP4R4	5.0	0.984	0.0	0.938	2.378	0.714
OTU7A	4.742	0.592	0.932	0.0	4.336	0.0
USH2A	4.56	5.0	4.704	1.544	1.819	2.172
OR4D5	0.0	0.0	5.0	0.0	0.0	0.0
SO1A2	2.666	1.945	5.0	1.702	1.96	1.897
KRA11	4.61	2.647	1.335	0.873	1.617	0.886
SIK2	4.815	1.431	1.649	2.059	4.062	1.532
CD166	4.704	4.553	5.0	1.764	2.325	4.403
PGK2	4.543	4.26	3.386	1.732	4.492	4.241
ATP5I	5.0	0.873	1.101	5.0	1.344	0.789
ARF4	5.0	4.319	5.0	1.978	1.533	4.439
SYNP2	5.0	1.137	5.0	0.991	4.587	1.002
NUDT6	5.0	1.117	0.898	5.0	5.0	0.507
MRM3	4.802	0.0	0.745	4.785	2.116	0.0
O10H2	1.737	0.0	5.0	0.0	0.0	0.0
FIBB	4.46	5.0	4.312	1.651	1.731	4.328
AMD	4.65	5.0	3.774	1.441	1.418	4.437
CEP89	5.0	0.715	4.523	5.0	2.659	1.492
DD19A	4.394	0.551	0.881	0.937	3.985	0.552
RPAP1	4.196	0.771	2.812	0.0	4.137	0.0
KPCE	5.0	1.861	5.0	3.522	4.008	4.39
DRD5	5.0	1.467	5.0	1.252	1.45	1.459
GRM5	4.007	2.412	4.805	1.941	2.208	1.934
IL7RA	4.586	5.0	5.0	2.739	4.532	4.412
ANKR2	5.0	1.383	1.241	1.243	5.0	3.803
ANTR2	4.542	3.912	4.262	1.095	1.359	4.462
SLAF1	4.634	4.507	4.576	1.794	2.389	4.374
EMC5	5.0	2.719	3.438	0.885	0.798	5.0
FOS	5.0	3.162	3.842	2.789	5.0	5.0
ITPR1	4.786	2.456	4.555	2.764	3.453	4.719
K2C78	4.598	4.18	0.832	1.702	1.773	4.159
KCNK3	2.073	2.078	4.688	1.685	1.715	1.747
GON7	5.0	0.562	0.0	1.401	5.0	0.0
PWP2B	4.803	1.5	0.75	0.0	4.804	0.0
S2533	4.655	0.912	0.684	4.42	1.833	0.739
1433G	4.835	4.332	4.535	3.138	2.95	4.531
RFX2	4.645	1.217	1.985	0.569	4.599	1.392
TM135	4.498	0.0	0.742	3.581	1.807	1.047
TBCA	5.0	0.64	0.782	1.774	4.547	0.0
ZNF3	4.691	0.518	0.982	0.0	4.686	0.0
PRS27	1.956	5.0	1.202	0.375	1.193	0.852
A0A1X7SBW3	5.0	0.281	0.0	0.0	5.0	0.0
UCRI	5.0	1.195	1.585	5.0	1.748	1.34
ODAD2	5.0	0.554	5.0	0.0	2.988	0.0
CHCH7	4.266	2.844	1.441	3.826	3.055	0.763
GPR37	5.0	1.464	5.0	1.782	1.419	4.379
B4GT6	4.696	1.664	1.809	1.581	0.874	4.697
SPR1B	5.0	2.71	5.0	0.692	1.214	0.659
SHCBP	4.182	0.917	3.597	0.527	2.017	0.0
ACM1	3.723	1.725	5.0	1.234	2.721	1.502
RB33B	5.0	1.332	1.304	1.063	1.111	5.0
KCNJ4	3.753	1.578	5.0	0.758	1.061	3.48
IL8	3.701	5.0	3.425	2.989	3.585	3.161
CMTA1	5.0	1.378	1.317	1.585	4.602	1.012
INSM2	4.466	1.543	2.411	0.875	4.399	1.403
DESI2	4.383	0.875	1.033	1.034	1.361	1.906
RM13	5.0	1.024	1.013	5.0	3.281	0.954
OGG1	5.0	1.766	1.767	5.0	5.0	1.371
TMM42	2.066	0.0	3.126	0.0	1.471	0.0
ISG20	5.0	2.237	1.592	1.768	5.0	1.671
ADH1B	5.0	1.829	4.332	2.208	4.395	1.395
OR1L8	0.0	0.0	5.0	0.0	0.0	0.0
PPIH	4.634	1.186	0.832	1.661	4.521	0.89
ASPC1	4.749	1.11	4.469	2.47	4.711	3.445
SL9C1	3.845	1.77	4.51	1.408	1.916	1.569
RGPD8	4.315	0.0	3.384	0.703	3.63	1.417
OR5BC	0.0	0.0	5.0	0.0	0.0	0.0
ADA1B	5.0	1.733	5.0	1.368	5.0	1.551
TIRR	5.0	0.894	2.373	0.469	5.0	0.0
ANKK1	5.0	1.477	2.809	1.192	5.0	0.918
PPM1D	5.0	1.64	1.517	2.103	5.0	2.262
A0A087WZT3	5.0	0.0	0.788	1.503	5.0	0.554
NDF2	4.73	1.397	1.965	1.02	4.723	1.213
ZN584	4.543	0.0	0.0	0.0	4.543	0.0
LRC45	5.0	0.0	4.306	0.0	4.55	0.797
LDB2	5.0	1.171	4.257	0.928	5.0	0.949
CC110	4.408	0.0	1.03	0.0	4.395	1.532
AR6P1	5.0	0.0	2.909	1.155	1.184	5.0
RBSK	4.755	1.332	3.39	1.115	3.391	1.037
AVEN	5.0	1.161	2.394	1.712	3.376	0.931
SEM4C	4.536	4.582	4.523	1.766	1.895	4.373
VASN	5.0	5.0	5.0	2.66	1.074	5.0
GBRAP	5.0	2.223	4.412	2.378	2.602	4.006
ZN565	4.181	0.0	0.821	0.0	4.181	0.0
SC23A	5.0	1.608	1.35	0.945	3.231	5.0
CXL11	2.647	5.0	2.475	1.844	2.484	2.203
T126A	5.0	0.0	1.022	5.0	1.329	0.651
F151A	4.53	4.267	1.446	0.0	1.714	4.0
ETV5	5.0	2.131	2.131	1.365	5.0	1.562
PRND	2.33	4.657	5.0	1.266	1.41	1.718
RN181	4.184	2.344	0.85	0.0	2.316	0.0
PCDGL	0.787	0.94	3.358	0.0	0.0	0.0
BGAL	4.802	4.382	1.632	1.302	1.414	4.531
CDCA7	5.0	1.144	0.807	0.951	5.0	0.0
OR1N1	0.686	0.0	5.0	0.0	0.0	0.0
YETS2	4.789	0.59	0.552	0.0	4.789	0.0
HYAS2	4.032	2.835	4.78	1.444	2.134	2.986
MYOZ2	5.0	1.245	1.81	1.832	2.737	1.487
ESCO2	5.0	1.058	4.0	0.66	5.0	4.349
APLF	5.0	1.095	5.0	1.039	5.0	1.623
K2C73	4.622	4.0	0.0	2.672	4.0	4.0
KLF11	4.775	2.024	4.268	1.567	4.77	1.164
BNC1	5.0	1.113	1.173	0.634	5.0	0.767
SDC2	4.593	4.459	4.815	1.029	1.784	4.29
KINH	5.0	1.536	3.263	1.955	2.901	5.0
MAP6	5.0	0.8	3.578	2.038	2.265	3.5
DEGS2	4.374	2.194	3.227	1.222	0.978	4.166
CH074	2.947	0.0	0.0	1.247	2.626	0.0
CYTD	4.283	5.0	1.064	0.797	1.233	4.212
CTND2	5.0	1.765	4.314	1.084	4.514	2.48
TEX37	5.0	1.406	0.0	0.469	3.397	0.0
DONS	5.0	0.0	0.649	0.281	5.0	0.678
OR8BC	0.0	0.0	5.0	0.691	0.0	0.0
PATE1	1.11	4.162	0.607	0.0	0.608	0.802
RAMAC	5.0	0.0	0.521	0.0	5.0	0.0
ING2	5.0	1.982	3.478	0.952	5.0	2.208
ARLY	4.799	4.338	1.603	2.291	2.342	4.235
DNJB7	3.543	1.89	1.784	1.894	3.303	1.424
AHSP	5.0	1.043	1.251	1.537	2.32	0.709
BPTF	5.0	4.224	2.543	1.348	5.0	4.189
TYW4	4.616	0.768	1.168	1.887	3.144	2.199
PCDB1	1.598	1.331	4.289	0.0	1.019	0.375
E2AK3	5.0	3.249	3.547	3.011	3.007	5.0
K2C74	5.0	4.2	0.608	0.656	0.984	4.0
ODPB	5.0	1.551	1.497	5.0	4.517	1.258
P2Y12	3.519	2.738	4.609	3.041	2.034	2.256
TBL2	4.699	2.521	1.061	2.119	1.059	4.328
CK024	4.486	2.062	3.36	0.0	4.418	4.19
I2BP1	5.0	0.541	0.0	0.0	5.0	1.901
RPTOR	5.0	2.306	3.122	2.569	4.723	3.286
SCAM3	4.338	4.194	3.518	0.891	0.852	4.369
MYL1	4.744	1.931	1.96	2.091	1.856	1.743
MCM7	5.0	1.89	1.785	1.834	5.0	1.398
CAVN3	4.387	2.091	5.0	1.227	2.646	1.308
CHSTE	4.596	4.328	1.53	1.632	0.957	4.477
FEM1B	5.0	1.166	0.578	1.287	5.0	0.683
DDIT4	5.0	1.94	1.917	4.01	2.959	2.021
HXC10	5.0	1.363	0.875	0.95	5.0	0.629
HCN1	2.748	1.192	5.0	0.0	0.842	0.825
SHE	2.641	1.009	0.964	1.714	2.446	0.682
AF10	5.0	1.185	1.841	1.365	5.0	1.023
MGAT2	5.0	1.623	1.508	0.0	0.614	5.0
S22AP	0.994	0.0	2.625	0.0	0.0	0.375
NECA2	3.981	0.0	5.0	2.265	2.392	2.079
MNAR1	2.798	0.0	5.0	0.844	1.223	2.012
ARNT2	5.0	1.328	1.289	2.46	5.0	0.93
WDR48	5.0	0.955	1.058	2.187	5.0	4.021
CALB2	4.922	2.609	4.254	1.9	4.213	2.069
MRC2	2.615	2.552	4.264	0.652	1.37	1.739
TM11E	1.89	3.653	4.253	0.562	0.607	1.188
CYTT	1.721	5.0	1.099	0.0	1.007	1.026
NPTX1	3.749	2.703	4.415	1.497	1.273	3.522
NINJ2	2.749	1.251	4.545	1.105	1.201	0.0
SYQ	5.0	1.039	1.164	4.373	1.53	0.825
OR9K2	0.0	0.0	5.0	0.0	0.0	0.0
SCNBA	4.41	4.391	4.562	1.135	1.802	4.276
ZBTB5	5.0	0.0	0.0	0.539	5.0	1.72
RDHE2	5.0	2.431	0.975	0.878	4.209	5.0
AGAP1	4.256	0.706	1.237	0.648	4.082	1.667
MORN4	5.0	0.0	5.0	1.532	1.688	0.703
TTC36	2.913	0.938	0.0	0.698	2.437	0.0
VPS50	5.0	4.0	2.439	0.0	2.907	5.0
CANT1	4.68	4.351	3.596	0.656	2.342	4.224
TADA3	5.0	0.814	1.113	1.069	5.0	0.873
KCNS1	4.469	0.742	5.0	0.536	0.961	0.655
ACOX2	5.0	1.45	1.118	1.966	2.409	1.193
TSN5	4.295	1.254	5.0	0.559	1.011	4.288
H14	5.0	1.289	1.242	1.184	5.0	0.859
MT1E	5.0	3.308	1.373	1.756	5.0	0.835
NSG2	4.451	1.716	4.147	1.362	1.472	4.218
OR2C1	2.0	0.0	5.0	0.0	0.0	0.0
CKLF8	5.0	3.331	3.068	0.0	5.0	0.0
ZN608	4.555	0.603	0.0	0.0	4.52	0.0
5HT1E	1.429	1.328	4.733	0.0	1.145	0.889
ZN239	4.572	0.614	1.702	0.0	4.582	0.0
CYC	5.0	2.93	3.554	5.0	4.677	3.002
ZPLD1	3.591	3.656	3.0	0.0	0.631	3.356
NPFF2	4.564	1.077	5.0	0.0	1.532	0.703
AGRF3	0.533	0.693	2.856	0.0	1.159	0.0
FBX22	4.521	0.815	0.757	1.375	3.197	0.731
NC2A	4.345	0.633	1.031	1.078	4.33	0.666
MUS81	4.851	1.398	1.516	2.777	4.798	1.13
PCMD2	4.292	0.0	0.0	1.998	2.547	0.0
ZBTB4	5.0	0.886	1.495	1.267	5.0	0.523
U2AF2	5.0	1.414	1.438	1.545	5.0	1.348
CK045	2.117	3.6	0.0	0.844	0.378	0.0
RL13	5.0	1.211	1.325	1.321	4.571	4.124
GLNA	5.0	4.522	5.0	4.672	4.75	4.425
CHST2	5.0	1.412	1.372	2.25	4.272	5.0
GCC2	5.0	1.016	1.578	0.842	4.632	5.0
EF2	5.0	4.433	4.681	2.399	4.605	4.442
HIG2B	3.956	0.8	1.406	3.319	0.094	0.094
F174A	2.308	3.209	1.672	0.0	0.682	1.805
IQCF1	5.0	0.375	0.0	0.0	1.312	5.0
F6QMI7	5.0	4.616	5.0	1.637	4.355	5.0
RFNG	4.235	5.0	1.18	0.566	1.11	3.617
MET18	3.001	0.0	0.0	0.726	2.017	0.0
F5H0R1	5.0	1.307	1.421	1.963	5.0	1.458
PABP5	4.277	0.549	0.648	3.259	4.292	0.0
TAD2B	4.848	0.69	1.977	0.0	4.851	0.0
NEC1	5.0	4.532	3.612	2.96	2.431	5.0
CP2S1	4.63	2.517	1.027	1.28	1.462	4.574
SYUB	5.0	1.59	3.898	2.091	2.701	2.318
O10P1	0.0	0.0	5.0	0.0	0.0	0.0
CD248	4.587	5.0	4.531	1.716	1.784	4.301
VPP4	5.0	4.302	5.0	1.615	1.56	4.447
AMZ1	2.146	0.0	0.0	0.0	1.688	0.0
WDR3	4.733	0.857	4.373	0.656	4.703	0.531
RNH2C	5.0	2.191	0.813	1.138	4.109	1.634
MMP14	5.0	4.329	5.0	2.002	3.977	5.0
J3KNF6	4.355	1.554	4.278	0.0	3.223	3.0
COMD1	5.0	1.728	1.582	1.497	5.0	5.0
PTSS2	4.671	0.664	2.955	1.577	2.336	4.228
RM38	5.0	0.0	0.0	5.0	0.922	0.0
CI131	2.625	0.0	0.863	0.0	2.625	0.0
F170B	5.0	0.0	0.0	0.0	2.409	5.0
PODN	5.0	5.0	1.527	1.272	1.927	0.667
PPR3B	4.567	2.109	1.19	1.577	1.464	1.178
MYEOV	3.367	1.258	1.115	0.844	2.528	1.395
UTP23	4.259	0.589	0.655	0.508	4.225	0.616
A0A5K1VW60	4.692	2.093	0.954	4.427	1.26	0.536
SC16B	5.0	0.953	1.139	1.249	2.793	5.0
MLKL	5.0	2.111	5.0	2.7	4.717	2.109
TIGD3	3.838	0.0	0.0	0.0	3.805	0.543
P2Y14	1.782	2.223	5.0	1.217	1.439	1.516
MAN1	5.0	1.683	5.0	1.079	5.0	1.768
H2AV	5.0	4.201	1.211	0.84	5.0	4.174
KS6B2	5.0	1.651	1.515	1.474	5.0	1.287
CYB5B	4.486	0.651	3.723	3.964	1.186	2.354
K1C17	4.704	2.137	3.084	2.206	2.47	1.273
RND1	4.541	3.225	5.0	1.665	1.953	3.806
4EBP3	5.0	1.144	0.783	0.682	1.102	0.863
GP171	1.064	1.059	5.0	0.0	0.923	0.737
ARL10	0.768	1.594	0.814	0.375	0.0	0.469
DCAKD	3.244	0.562	0.834	1.735	0.0	0.844
GEMI2	5.0	1.186	1.495	0.764	5.0	0.923
GOT1A	5.0	0.0	5.0	0.0	5.0	5.0
THRB	4.72	5.0	4.511	2.136	2.411	4.494
MEPCE	5.0	1.076	2.084	0.0	5.0	0.0
ZNHI2	2.883	1.031	0.0	0.0	2.829	0.0
RHOD	4.789	3.399	4.087	1.995	2.152	4.46
ZN431	4.564	0.0	0.542	0.0	4.61	0.0
CENPS	5.0	1.192	1.593	0.831	5.0	0.703
G3ST3	4.235	1.624	0.0	0.652	0.546	4.051
DLEC1	5.0	0.907	1.14	1.003	2.508	0.281
AGR3	4.604	2.47	0.99	0.569	1.276	4.57
GPDM	5.0	1.821	1.334	5.0	1.454	1.166
GLE1	4.751	4.189	4.54	1.005	4.601	1.587
O10AD	0.0	0.0	5.0	0.0	0.0	0.0
D19L1	3.829	1.056	3.425	0.0	3.276	1.016
TCP11	5.0	0.784	5.0	1.299	1.15	5.0
OR9Q2	0.621	0.0	5.0	0.0	0.0	0.0
INHBC	1.609	4.693	1.752	0.757	0.979	0.392
RM48	5.0	0.73	0.0	5.0	2.031	0.0
TRY1	2.176	5.0	1.746	1.543	1.799	1.836
GBRB3	3.994	1.977	5.0	1.629	2.094	3.58
SUSD5	1.369	1.62	2.775	0.375	0.7	0.0
GP151	1.187	0.763	4.312	0.0	1.114	0.0
CLOCK	5.0	1.9	1.865	2.059	5.0	2.812
CBX2	5.0	1.09	0.86	0.714	5.0	0.589
TMOD3	4.47	1.004	3.519	0.855	2.238	1.296
ZBT21	5.0	0.695	1.068	0.506	5.0	0.539
O52I2	0.0	0.0	5.0	0.0	0.0	0.0
ST1B1	4.749	1.009	1.804	1.252	2.067	0.938
ANS4B	4.218	0.521	5.0	0.0	0.652	4.0
GPVI	4.515	4.701	5.0	1.717	1.762	4.432
CCL19	2.563	5.0	2.54	1.635	2.288	2.098
RIC3	5.0	2.029	3.436	0.281	0.979	5.0
CC74B	2.235	0.0	0.0	0.844	1.969	0.0
SNED1	1.845	4.28	3.47	0.0	1.472	0.81
S19A1	4.331	1.587	4.824	1.669	1.405	1.335
RM11	5.0	0.619	0.0	5.0	1.15	0.0
GP148	1.429	0.878	5.0	0.525	1.125	1.384
ZCH12	4.151	0.54	0.658	1.783	3.808	0.0
TLR10	2.967	2.555	4.776	1.864	2.123	2.432
PPM1J	2.534	0.0	0.611	1.668	0.678	0.0
PLMN	4.648	4.846	4.752	2.532	2.872	4.53
HLTF	4.839	1.049	1.065	0.98	4.832	0.871
PSG1	1.348	4.279	1.348	0.691	1.125	0.886
VWC2L	0.588	4.2	3.0	0.0	0.0	0.545
THAP6	4.573	0.844	0.516	0.984	2.481	0.0
VCIP1	5.0	0.632	2.494	0.845	5.0	4.27
J3KNG2	5.0	0.961	4.382	0.0	2.059	1.284
CTSR1	4.015	1.239	4.717	1.027	2.085	1.482
PL8L1	2.06	1.406	0.0	0.0	0.938	0.0
GMPPB	5.0	1.675	1.413	2.415	1.004	1.297
B4GA1	5.0	4.55	1.439	0.0	0.0	5.0
PTN7	5.0	1.306	5.0	1.971	4.382	1.157
RFOX1	5.0	1.683	2.028	1.631	5.0	5.0
OLR1	4.657	5.0	5.0	1.979	4.614	4.565
NSUN5	5.0	1.355	0.617	1.882	5.0	0.0
B2L14	5.0	1.17	1.425	2.222	2.604	0.94
MARH3	5.0	0.686	3.118	0.687	0.863	5.0
PDE12	5.0	0.944	1.137	5.0	1.514	0.655
ZN471	4.658	0.0	0.0	0.731	4.639	0.0
FACE2	5.0	1.238	4.751	1.115	1.628	5.0
EIF1A	4.676	0.0	0.0	0.375	4.653	1.952
SH3R3	3.921	0.0	0.602	0.704	3.714	0.581
CBY2	4.484	0.0	1.675	0.0	3.596	3.321
UBE3C	4.472	0.729	2.022	2.337	4.367	0.875
POZP3	4.359	3.263	4.139	1.266	4.321	0.0
UBP48	4.677	0.647	0.9	4.398	4.688	0.773
CHST1	4.351	2.569	1.209	0.141	0.656	4.226
CCD96	4.119	0.0	3.473	0.0	2.349	0.0
ZN680	4.2	0.0	0.0	0.0	4.2	0.0
RL15	5.0	1.56	1.32	1.314	4.587	1.01
HXC5	5.0	1.316	4.456	0.958	5.0	0.844
CLCF1	3.051	4.542	1.277	1.962	1.63	1.937
MUC24	5.0	4.344	5.0	0.87	1.316	5.0
TR1L1	4.05	0.0	2.812	1.532	0.624	3.385
CLCB	5.0	1.423	5.0	0.892	2.4	5.0
ZDH24	3.656	0.0	2.613	0.0	0.0	3.112
PIGS	5.0	0.0	1.462	0.0	0.0	5.0
RETR3	2.739	0.0	3.0	0.662	1.532	1.144
HXB9	5.0	1.695	1.293	2.589	5.0	1.152
VPS41	5.0	0.713	0.949	1.035	2.828	5.0
LIPT2	5.0	0.469	0.0	5.0	0.526	1.486
PSMD1	5.0	4.21	1.284	1.668	4.632	4.232
ACOC	5.0	4.394	2.566	4.693	2.252	5.0
GPC6A	1.883	1.759	4.752	1.279	1.342	1.476
NWD2	2.516	0.0	1.084	1.52	1.917	0.0
S26A7	5.0	1.354	4.699	1.043	0.948	5.0
PHYD1	2.958	1.817	0.832	0.281	2.757	0.281
LIME1	1.014	4.14	3.78	0.0	0.805	0.763
CSHL	1.405	4.348	0.962	0.598	1.216	0.8
DAPL1	2.376	1.37	1.594	0.863	2.11	0.0
DPYL2	5.0	4.375	4.637	1.876	3.503	4.377
PEPA5	4.376	5.0	1.49	1.056	1.773	4.214
PDP2	4.746	1.06	0.976	4.738	1.889	0.56
HCFC1	5.0	1.992	1.601	3.232	5.0	1.315
MIC13	5.0	0.723	4.27	5.0	4.503	0.791
QCR6	4.476	2.791	1.296	4.494	1.735	0.996
KLF7	5.0	1.821	1.7	1.465	5.0	2.194
TERT	5.0	2.712	3.545	4.597	5.0	2.107
KAPCA	5.0	4.189	5.0	3.812	5.0	4.124
PEO1	5.0	1.329	1.516	5.0	2.774	1.189
M3K11	5.0	1.741	1.73	1.93	2.008	1.535
ZN408	5.0	0.533	0.779	0.0	5.0	0.0
MET2A	2.936	0.0	0.0	1.143	1.103	0.0
XXLT1	5.0	0.0	1.106	1.734	0.638	5.0
BOD1	5.0	0.738	0.562	0.0	5.0	0.0
GLIS1	4.731	1.321	1.188	0.943	4.721	0.604
O52W1	0.0	0.0	5.0	0.0	0.0	0.0
LRCH4	5.0	1.639	2.476	1.019	5.0	1.159
SPD2B	4.648	1.614	3.832	1.806	2.798	1.127
SO4C1	4.285	4.206	4.706	0.812	1.222	4.163
ABC3F	5.0	1.279	1.475	0.979	4.482	1.353
MOT13	5.0	0.0	4.233	1.166	0.664	5.0
NLRP6	4.334	2.403	3.761	2.202	3.739	1.987
CPED1	4.468	1.556	1.574	0.0	1.096	4.122
MRGRF	4.176	0.695	5.0	0.0	4.118	0.0
M18BP	4.817	0.905	1.419	0.562	4.798	0.0
TM234	1.986	1.617	1.781	0.543	0.0	1.986
TBC16	5.0	0.692	0.0	1.922	1.741	5.0
RL38	5.0	1.205	4.148	1.751	2.438	1.047
CCD13	4.586	0.0	3.362	0.0	4.513	0.0
NARF	4.606	0.0	0.62	0.841	4.604	0.0
TBX5	5.0	2.204	2.035	1.671	5.0	1.648
